obdb_id,brewery_name,brewery_type,street,city,state,postal_code,website_url,longitude,latitude,brewery_id
,Cloudcroft Brewing Company,,,,,,,,,439
,Cloudwater Brew Co.,,,,,,,,,440
,Clown Shoes,,,,,,,,,441
,Cobra Beer Partnership Limited,,,,,,,,,442
,Coedo Brewery (Kyodo Shoji Koedo Brewery),,,,,,,,,443
,Cold Spring Brewing Co.,,,,,,,,,444
,Collective Arts Brewing,,,,,,,,,445
,Columbus Brewing Company,,,,,,,,,446
,Common Roots Brewing Company,,,,,,,,,447
,Community Beer Company,,,,,,,,,448
,Compañía Cervecera de Puerto Rico,,,,,,,,,449
,Comrade Brewing Company,,,,,,,,,450
,Coney Island Brewing Company,,,,,,,,,451
,Coniston Brewing Co. Ltd,,,,,,,,,452
,Coopers Brewery Limited,,,,,,,,,453
